font-variant	normal | none | [ <common-lig-values> || <discretionary-lig-values> || <historical-lig-values> || <contextual-alt-values> || stylistic(<feature-value-name>) || historical-forms || styleset(<feature-value-name> #) || character-variant(<feature-value-name> #) || swash(<feature-value-name>) || ornaments(<feature-value-name>) || annotation(<feature-value-name>) || [ small-caps | all-small-caps | petite-caps | all-petite-caps | unicase | titling-caps ] || <numeric-figure-values> || <numeric-spacing-values> || <numeric-fraction-values> || ordinal || slashed-zero || <east-asian-variant-values> || <east-asian-width-values> || ruby ] 
font-variant-alternates	normal | [ stylistic(<feature-value-name>) || historical-forms || styleset(<feature-value-name> #) || character-variant(<feature-value-name> #) || swash(<feature-value-name>) || ornaments(<feature-value-name>) || annotation(<feature-value-name>) ] 
font-variant-caps	normal | small-caps | all-small-caps | petite-caps | all-petite-caps | unicase | titling-caps
font-variant-east-asian	normal | [ <east-asian-variant-values> || <east-asian-width-values> || ruby ] 
font-variant-ligatures	normal | none | [ <common-lig-values> || <discretionary-lig-values> || <historical-lig-values> || <contextual-alt-values> ]
font-variant-numeric	normal | [ <numeric-figure-values> || <numeric-spacing-values> || <numeric-fraction-values> || ordinal || slashed-zero ]
font-variant-position	normal | sub | super
font-weight	normal | bold | bolder | lighter | 100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900
height	[<length> | <percentage>] && [border-box | content-box]? | available | min-content | max-content | fit-content | complex | auto
hyphens	none | manual | auto
image-orientation	from-image | <angle> | [<angle>? flip]
image-rendering	auto | crisp-edges | pixelated
ime-mode	auto | normal | active | inactive | disabled
inline-size	<'width'>
isolation	 auto | isolate
justify-content	flex-start | flex-end | center | space-between | space-around
left	<length> | <percentage> | auto
letter-spacing	normal | <length>
line-break	auto | loose | normal | strict
line-height	normal | <number> | <length> | <percentage>
list-style	<'list-style-type'> || <'list-style-position'> || <'list-style-image'>
list-style-image	<uri> | none
list-style-position	inside | outside
list-style-type	<custom-ident> | symbols)
margin	[ <length> | <percentage> | auto ]{1,4}
margin-block-end	<'margin-left'>
margin-block-start	<'margin-left'>
margin-bottom	<length> | <percentage> | auto
margin-inline-end	<'margin-left'>
margin-inline-start	<'margin-left'>
margin-left	<length> | <percentage> | auto
margin-right	<length> | <percentage> | auto
margin-top	<length> | <percentage> | auto
max-block-size	<'max-width'>
max-height	<length> | <percentage> | none | max-content | min-content | fit-content | fill-available
max-inline-size	<'max-width'>
max-width	<length> | <percentage> | none | max-content | min-content | fit-content | fill-available
min-block-size	<'min-width'>
min-height	<length> | <percentage> | auto | max-content | min-content | fit-content | fill-available
min-inline-size	<'min-width'>
min-width	<length> | <percentage> | auto | max-content | min-content | fit-content | fill-available
mix-blend-mode	 <blend-mode>
object-fit	 fill | contain | cover | none | scale-down
object-position	 <position>
offset-block-end	<'left'>
offset-block-start	<'left'>
offset-inline-end	<'left'>
offset-inline-start	<'left'>
opacity	<number>
order	<integer>
orphans	<integer>
outline	<'outline-color'> || <'outline-style'> || <'outline-width'>
outline-color	<color> | invert
outline-offset	<length>
outline-style	auto | <br-style>
outline-width	<br-width>
overflow	visible | hidden | scroll | auto
overflow-x	visible | hidden | scroll | auto
overflow-y	visible | hidden | scroll | auto
padding	[ <length> | <percentage> ]{1,4}
padding-block-end	<'padding-left'>
padding-block-start	<'padding-left'>
padding-bottom	<length> | <percentage>
padding-inline-end	<'padding-left'>
padding-inline-start	<'padding-left'>
padding-left	<length> | <percentage>
padding-right	<length> | <percentage>
padding-top	<length> | <percentage>
page-break-after	auto | always | avoid | left | right
page-break-before	auto | always | avoid | left | right
page-break-inside	auto | avoid
perspective	none | <length>
perspective-origin	[ <percentage> | <length> | left | center | right | top | bottom] | [ [ <percentage> | <length> | left | center | right ] && [ <percentage> | <length> | top | center | bottom ] ]
position	static | relative | absolute | sticky | fixed
quotes	[<string> <string>]+ | none
resize	none | both | horizontal | vertical
right	<length> | <percentage> | auto
ruby-align	start | center | space-between | space-around
ruby-position	over | under | inter-character
scroll-behavior	 auto | smooth
shape-image-threshold	<number>
shape-margin	<length> | <percentage>
shape-outside	none | <shape-box> || <basic-shape> | <image>
table-layout	auto | fixed
tab-size	| <length"><integer> | <length>
text-align	start | end | left | right | center | justify | match-parent | start end
text-align-last	auto | start | end | left | right | center | justify
text-decoration	<'text-decoration-line'> || <'text-decoration-style'> || <'text-decoration-color'>  
text-decoration-color	<color>
text-decoration-line	none | [ underline || overline || line-through || blink ]
text-decoration-style	solid | double | dotted | dashed | wavy
text-indent	<length> | <percentage> && [ hanging || each-line ]
text-orientation	mixed | upright | sideways-right | sideways-left | sideways | use-glyph-orientation
text-overflow	[ clip | ellipsis | <string> ]{1,2}
text-size-adjust	none | auto | <var><percentage></var>
text-transform	none | capitalize | uppercase | lowercase | full-width
text-underline-position	auto | [ under || [ left | right ] ]
top	<length> | <percentage> | auto
touch-action	 auto | none | [ pan-x || pan-y ] | manipulation
transform	none | <transform-function>+
transform-origin	[ <percentage> | <length> | left | center | right | top | bottom] | [ [ <percentage> | <length> | left | center | right ] && [ <percentage> | <length> | top | center | bottom ] ] <length>?
transform-style	flat | preserve-3d
transition	[ none | <single-transition-property> ] || <time> || <timing-function> || <time>
transition-delay	<time>#
transition-duration	<time>#
transition-property	none | <single-transition-property>#  [ ‘,’ <single-transition-property># ]*<br/>
transition-timing-function	<timing-function>#
unicode-bidi	normal | embed | isolate | bidi-override | isolate-override | plaintext
unicode-range	<urange>#
vertical-align	baseline | sub | super | text-top | text-bottom | middle | top | bottom | <percentage> | <length>
visibility	visible | hidden | collapse
white-space	normal | pre | nowrap | pre-wrap | pre-line
widows	<integer>
width	[<length> | <percentage>] && [border-box | content-box]? | available | min-content | max-content | fit-content | auto
will-change	auto | <animateable-feature>#
word-break	normal | break-all | keep-all
word-spacing	normal | <length>
word-wrap	normal | break-word
writing-mode	horizontal-tb | vertical-rl | vertical-lr
z-index	auto | <integer>
